SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4197LD(3)A,10/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MOD-100-T3W,,Modelithics CLR Model Library.  Term 3-TZ WAN for Win.,300-4420-00,AWR,1,1516.75,227.57,1289.18,Normal
Invoice,4197LD(3)A,10/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-105-T3W,MWO-TERM,MWO Linear & Layout; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,1820,273,1547,Normal
Invoice,4197LD(3)A,10/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-225-T3W,MWO-TERM,MWO for MIC/PCB; Term/WAN 3 TZ/Win,000-2300-00,AWR,3,3640,546,9282,Normal
Invoice,4197LD(3)A,10/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,MWO-228-T3W,MWO-TERM,MWO for MMIC; Term/WAN 3 TZ/Win,000-2300-00,AWR,2,5005,750.75,8508.5,Normal
Invoice,4197LD(3)A,10/1/2008,,306,Aeroflex (Main Office),United States,NORTH AMERICA,VSS-250-T3W,VSS-TERM,VSS for Communication Signals; Term/WAN 3 TZ/Win,000-2300-00,AWR,1,2730,409.5,2320.5,Normal
Invoice,4886TD(2)B,10/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TFW,MWO-TERM,MWO for MMIC; Term/Floating/Win,000-2300-00,AWR,3,3850,296.77,10659.69,Normal
Invoice,4886TD(2)B,10/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,MWO-228-TLW,MWO-TERM,MWO for MMIC; Term/Locked/Win,000-2300-00,AWR,4,2887.5,222.58,10659.68,Normal
Invoice,4886TD(2)B,10/1/2008,,10030073,Wavestream,United States,NORTH AMERICA,VSS-350-TLW,VSS-TERM,VSS for Wireless Communication Standards; Term/Locked/Win,000-2300-00,AWR,1,2100,161.88,1938.12,Normal
Invoice,5056CD(2),10/1/2008,,9300,"Millennium Sensor, LLC.",United States,NORTH AMERICA,MWO-225-MFW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Floating/Win,000-2301-00,AWR,1,5400,0,5400,Normal
Invoice,5149TD(2),10/1/2008,,6802,Silicon Laboratories Inc.,United States,NORTH AMERICA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,AWR,2,12600,1260,22680,Normal
Invoice,5152TD(2),10/1/2008,,9327,Paratek Microwave,United States,NORTH AMERICA,MWO-225-TLW,MWO-TERM,MWO for MIC/PCB; Term/Locked/Win,000-2300-00,AWR,1,9450,4725,4725,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,ANO-229-M0W,ANO-MAIN,ANO for RFIC; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,5650,0,5650,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,ANO-229-P0W,,Full Analog Office with Silicon Libraries. Perpetual WW WAN for Win.,300-4005-00,AWR,1,4125,3263,862,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,ANO-229-T0W,ANO-TERM,ANO for RFIC; Term/WAN WW/Win,000-2300-00,AWR,1,11025,0,11025,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,FIL-100-M0W,FIL-MAIN,Nuhertz Filter Synthesis; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,628,0,628,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,FIL-100-P0W,FIL-PURC,Nuhertz Filter Synthesis; Purchase/WAN WW/Win,300-4000-00,AWR,1,458,362,96,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,HSP-100-M0W,HSP-MAIN,Synopsys HSPICE and Simulation Interface; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,1256,0,1256,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,HSP-100-P0W,HSP-PURC,Synopsys HSPICE and Simulation Interface; Purchase/WAN WW/Win,300-4000-00,AWR,1,917,726,191,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,HSP-100-T0W,HSP-TERM,Synopsys HSPICE and Simulation Interface; Term/WAN WW/Win,000-2300-00,AWR,1,2940,0,2940,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MGC-100-T0W,MGC-TERM,AWR Connected&trade; for Mentor Graphics; Term/WAN WW/Win,000-2300-00,AWR,1,4900,0,4900,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-100-M0W,MWO-MAIN,MWO Linear; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,500,0,500,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-105-M0W,MWO-MAIN,MWO Linear & Layout; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,1004.5,0,2009,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-105-P0W,MWO-PURC,MWO Linear & Layout; Purchase/WAN WW/Win,300-4015-00,AWR,2,733.5,580.5,306,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-105-T0W,MWO-TERM,MWO Linear & Layout; Term/WAN WW/Win,000-2300-00,AWR,3,1960,0,5880,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-125-M0W,MWO-MAIN,"MWO Linear, EMSight, & Layout; 12M Maint/WAN WW/Win",000-2301-00,AWR,2,1506.5,0,3013,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-125-P0W,MWO-PURC,"MWO Linear, EMSight, & Layout; Purchase/WAN WW/Win",300-4015-00,AWR,2,1100,870.5,459,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-125-T0W,MWO-TERM,"MWO Linear, EMSight, & Layout; Term/WAN WW/Win",000-2300-00,AWR,1,2940,0,2940,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-M0W,MWO-MAIN,MWO for MIC/PCB; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,2009,0,4018,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-M0W,MWO-MAIN,MWO for MIC/PCB; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,2260,0,2260,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-M0W,MWO-MAIN,MWO for MIC/PCB; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,2260,0,4520,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-P0W,MWO-PURC,MWO for MIC/PCB; Purchase/WAN WW/Win,300-4015-00,AWR,2,1466.5,1160,613,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-T0W,MWO-TERM,MWO for MIC/PCB; Term/WAN WW/Win,000-2300-00,AWR,1,4410,0,4410,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,MWO-226-M0W,MWO-MAIN,MWO for MIC/PCB & Signal Integrity; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,753.5,0,1507,Normal
Invoice,5516CTC-3,10/1/2008,,8813,Honeywell,United States,NORTH AMERICA,NXG-100-M0W,NXG-MAIN,ACS NETEX-G Extraction Wizard; 12M Maint/WAN WW/Win,300-4410-00,AWR,1,460,0,460,Normal
