SOP Type,SOP Number,Document Date,Corporate Customer Number,Customer Number,Customer Name,Country from Customer Master,Sales Territory,Item Number,Item Class Code,Item Description,COGS Account Number,PriceLevel,QTY,Unit Price,Markdown Amount,Extended Price,Void Status
Invoice,4847TI(3)B,10/1/2009,,396,Microelectronics Technology,Taiwan;,ASIA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,INT,20,4095,3157.5,18750,Normal
Invoice,5056CD(3),10/1/2009,,9300,Millennium Sensor; LLC.,United States,NORTH AMERICA,MWO-225-MFW,MWO-MAIN,MWO for MIC/PCB; 12M Maint/Floating/Win,000-2301-00,AWR,1,5400,0,5400,Normal
Invoice,5149TD(3),10/1/2009,,6802,Silicon Laboratories Inc.,United States,NORTH AMERICA,MWO-225-TFW,MWO-TERM,MWO for MIC/PCB; Term/Floating/Win,000-2300-00,AWR,2,12600,1260,22680,Normal
Invoice,5152TD(3),10/1/2009,,9327,Paratek Microwave,United States,NORTH AMERICA,MWO-225-TLW,MWO-TERM,MWO for MIC/PCB; Term/Locked/Win,000-2300-00,AWR,1,9450,4725,4725,Normal
Invoice,5152TD(3),10/1/2009,,9327,Paratek Microwave,United States,NORTH AMERICA,SVC-100,,A service AWR will implement a nonlinear capacitor model,300-4000-00,,1,-4000,0,-4000,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-105-P0W,MWO-PURC,MWO Linear & Layout; Purchase/WAN WW/Win,000-2300-00,AWR,2,733.5,580.5,306,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-125-P0W,MWO-PURC,MWO Linear; EMSight; & Layout; Purchase/WAN WW/Win,000-2300-00,AWR,2,1100,870.5,459,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-P0W,MWO-PURC,MWO for MIC/PCB; Purchase/WAN WW/Win,000-2300-00,AWR,2,1466.5,1160,613,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,UPG-PROD,MISC,Upgrade from MWO-226 to MWO-225-P0W,000-2300-00,,2,550,435,230,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,VSS-250-P0W,VSS-PURC,VSS for Communication Signals; Purchase/WAN WW/Win,000-2300-00,AWR,1,1100,870,230,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,ANO-229-P0W,ANO-PURC,Full Analog Office w/Silicon Libraries; Purchase/WAN WW/WIN,000-2300-00,,1,4125,3263,862,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,HSP-100-P0W,HSP-PURC,Synopsys HSPICE and Simulation Interface; Purchase/WAN WW/Win,000-2300-00,AWR,1,917,726,191,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,FIL-100-P0W,FIL-PURC,Nuhertz Filter Synthesis; Purchase/WAN WW/Win,000-2300-00,AWR,1,458,362,96,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,NXG-100-P0W,NXG-PURC,ACS NETEX-G Extraction Wizard; Purchase/WAN WW/Win,300-4400-00,AWR,1,336,266,70,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-105-M0W,MWO-MAIN,MWO Linear & Layout; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,1004.5,0,2009,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-125-M0W,MWO-MAIN,MWO Linear; EMSight; & Layout; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,1506.5,0,3013,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-225-M0W,MWO-MAIN,MWO for MIC/PCB; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,2009,0,4018,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,MWO-226-M0W,MWO-MAIN,MWO for MIC/PCB & Signal Integrity; 12M Maint/WAN WW/Win,000-2301-00,AWR,2,753.5,0,1507,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,VSS-250-M0W,VSS-MAIN,VSS for Communication Signals; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,1507,0,1507,Normal
Invoice,5516CTC-7,10/1/2009,,8813,Honeywell,United States,NORTH AMERICA,ANO-229-M0W,ANO-MAIN,ANO for RFIC; 12M Maint/WAN WW/Win,000-2301-00,AWR,1,5650,0,5650,Normal
