spid	artist	album	song	taglist
4dYeLvp1VhtMRBQvSUScoz	Fm Static	What Are You Waiting For?	Definitely Maybe	spotify:owned
2Fyj3DUxq29SKzzjnQXflG	Pearl Jam	Ten	Why Go	spotify:owned
0XOcDuovDEQZg6OabqgrPK	Relient K	Two Lefts Don't Make a Right...But Three Do (Gold Edition)	Forward Motion	spotify:owned
4UslVibkpBvEzxz7czDSLN	We The Kings	Smile Kid	The Story Of Your Life	spotify:owned
4u9iYaJyx92KzhK6rAFlSu	TobyMac	Eye On It (Deluxe Edition)	Forgiveness - feat. Lecrae	spotify:owned
1OFKUn2VLafrHj7ybnap0Q	Hootie & The Blowfish	Cracked Rear View	Only Wanna Be With You	spotify:owned
7pt1M4mRNJtifyxD75Qtus	Hootie & The Blowfish	Looking For Lucky	Get Out Of My Mind	spotify:owned
5f0uZvIkrgpwHP6dRCyKZC	Counting Crows	Saturday Nights & Sunday Mornings	Sundays	spotify:owned
0YuxFO8h7lNp1xI9gzvWYu	John Reuben	Zappin (The Best of)	Nuisance - Featuring Matthew Thiessen of Relient K	spotify:owned
0YgBUU1pq66ZsrYgXO8Dtz	Fm Static	My Brain Says Stop, But My Heart Says Go	U Don't Know Me Like That	spotify:owned
2NniAhAtkRACaMeYt48xlD	Train	California 37	50 Ways to Say Goodbye	spotify:owned
5FJxU2UqdsJrEXYnz5wCbq	Marianas Trench	Marianas Trench	Desperate Measures	spotify:owned
3VA8T3rNy5V24AXxNK5u9E	Sara Bareilles	Kaleidoscope Heart	King Of Anything	spotify:owned
2VzE3kCeZbEb9cBXUI7U9C	Counting Crows	Films About Ghosts: The Best Of...	Hanginaround	spotify:owned
57qULygCqZMZFfcMvFe36Z	Jet	Shaka Rock	Seventeen	spotify:owned
5AaoRhq71t6yBscJvG7KNi	Pearl Jam	Vs.	Dissident	spotify:owned
5UpqlZlXw7mQuM4UgT5foX	Hootie & The Blowfish	Looking For Lucky	Another Year's Gone By	spotify:owned
31JeAo4TMEE1MxhAdccvrO	Every Avenue	Shh, Just Go With It	A Story to Tell Your Friends	spotify:owned
2tAtg37styBgPSHzKnJQYB	P!nk	Funhouse	Please Don't Leave Me	spotify:owned
1fEMXiV45RypDOfEmeREau	Fm Static	Dear Diary	Man Watcha Doin?	spotify:owned
2iPpOfObkNBlmWGNhRAvvU	Pearl Jam	Ten	Black	spotify:owned
5KOIiKoCXL7yjSjFVVy1s4	Relient K	Five Score And Seven Years Ago	Must Have Done Something Right	spotify:owned
6FsqbTklL4DQoFXdU37dmG	Hootie & The Blowfish	Looking For Lucky	Can I See You	spotify:owned
4vAY3TvzBL5eO82AfXMyhe	Counting Crows	Films About Ghosts: The Best Of...	Mrs. Potters Lullaby	spotify:owned
40S4RjkGS3DhYgTMy0aZvX	Yellowcard	Lights And Sounds	Rough Landing, Holly	spotify:owned
124pMEK5vUgqzV7ZrJdZHn	Counting Crows	Recovering The Satellites	Children In Bloom	spotify:owned
7ik2ZEjCqgqbXr6MWPJAlT	Jet	Shaka Rock	La Di Da	spotify:owned
5qiY8f1Jw8hFfXXy61E6jT	Every Avenue	Shh, Just Go With It	Boys Will Be Boys	spotify:owned
76dynyoXf52MiEsr3Pi06e	Pearl Jam	Ten	Jeremy	spotify:owned
1qMYOT6XBb2Zl7R56wVbgQ	Counting Crows	Saturday Nights & Sunday Mornings	Cowboys	spotify:owned
39l99cKocDXAN64aAJ6Sqv	Relient K	MMHMM	My Girl's Ex-Boyfriend	spotify:owned
0iUxJR8vvmThQb3X7vUuFv	Fm Static	What Are You Waiting For?	Hold Me Twice - Fm Static Album Version	spotify:owned
6L89mwZXSOwYl76YXfX13s	Green Day	Dookie	Basket Case	spotify:owned
3Eb7aTXl8OjKx97oQkFMFc	Hootie & The Blowfish	Scattered, Smothered And Covered	Araby	spotify:owned
2PmNkVUr7mfjmJlEYzlCZa	Taylor Swift	Speak Now (Deluxe Package)	The Story Of Us	spotify:owned
5wJ0BL1beppAHQO3DtlEqh	Good Charlotte	Cardiology	Sex On The Radio	spotify:owned
5kfz5F8TfsFs05MBMqkcOz	Counting Crows	Films About Ghosts: The Best Of...	Mr. Jones	spotify:owned
1i79f6Qc5xraj2r8kXrzKo	Fm Static	3 Out Of 4 Ain't Bad	Hold Me Twice	spotify:owned
1hqSNiQrroowFKv1Kf3zjY	Every Avenue	Shh, Just Go With It	Take a Step Back	spotify:owned
5V5ZwQFkJJMlyAyVOaV0zd	Hootie & The Blowfish	Looking For Lucky	A Smile	spotify:owned
1v6ilQqdsgXHXzSj0Qvkzn	Counting Crows	Recovering The Satellites	Have You Seen Me Lately?	spotify:owned
3tdqxPtYmf3LqsjQC8KS72	Relient K	MMHMM	More Than Useless	spotify:owned
4U8ljokhQolHsq2nB57Fsd	Jet	Shaka Rock	Goodbye Hollywood	spotify:owned
1V19GJG6TF4eoHDkm3MA6M	Pearl Jam	Vs.	Rearviewmirror	spotify:owned
6LzJ4eKldsg3XxvWYfKOCf	Pearl Jam	Vitalogy	Corduroy	spotify:owned
3RtVNyi2dOUjvffDUvo21a	Fm Static	My Brain Says Stop, But My Heart Says Go	Last Train Home	spotify:owned
3MSc4C4jl8NOVR2VG9vj84	Every Avenue	Bad Habits	Hit Me Where It Hurts the Most	spotify:owned
1hMRHL8eMEUh4pPNEK7a3F	Hootie & The Blowfish	Looking For Lucky	One Love	spotify:owned
3lGH1F1fPqi62wozujGLX3	Fm Static	Critically Ashamed	Girl Of The Year	spotify:owned
65FeE94V9JT0LZ5mEw8qvS	Jet	Shaka Rock	Walk	spotify:owned
4wsQGsdf8D0Bj26cGdvreB	Green Day	Dookie	She	spotify:owned
