spid	artist	album	song	taglist
6pCc3tvn8l2QUAPbn8ICQq	Barenaked Ladies	All In Good Time	I Have Learned	spotify:2012
0unuN1lyURghdGtwk6dU0g	Barenaked Ladies	All In Good Time	Golden Boy	spotify:2012
0iSblmp8HD8z6KfLTKqVgE	Barenaked Ladies	Hits From Yesterday & The Day Before	The Old Apartment	spotify:2012
1myDUBckyryifpwmwAugKX	Barenaked Ladies	Hits From Yesterday & The Day Before	Pinch Me - Radio Version	spotify:2012
0BeE61aqq6sqGwRNhiFutV	Barenaked Ladies	Hits From Yesterday & The Day Before	Another Postcard	spotify:2012
4BodkdQk2Ouo6BFbLqoWtG	Fm Static	Critically Ashamed	Tonight	spotify:2012
4E3BqYMBtb2EK93eSz6rUD	Fm Static	Critically Ashamed	The Video Store	spotify:2012
3lGH1F1fPqi62wozujGLX3	Fm Static	Critically Ashamed	Girl Of The Year	spotify:2012
27PKB45dKx5w3TG5aDTxKe	Fm Static	Critically Ashamed	What It Feels Like	spotify:2012
4T9g3hUTrsvaVi8fD2IYhA	Fm Static	My Brain Says Stop, But My Heart Says Go	My Brain Says STOP, But My Heart Says GO	spotify:2012
1fBl642IhJOE5U319Gy2Go	Neon Trees	Habits	Animal	spotify:2012
17QodENDMk3o1nPgPqfs3Y	Neon Trees	Habits	Your Surrender	spotify:2012
4DJLcyfnyEGlUejAEAX4az	Neon Trees	Habits	1983	spotify:2012
53s3t2XXuBUZDx0OB0II5s	Marianas Trench	Masterpiece Theatre	All To Myself	spotify:2012
5g3o7Q1PdQVaibYCsdhvEF	Marianas Trench	Masterpiece Theatre	Cross My Heart	spotify:2012
0YCs0CDddjl2T8mqe3PRgH	Hawk Nelson	Smile, It's The End Of The World	The One Thing I Have Left	spotify:2012
4wS4P9DBkdgOcE7mVJkK1N	Hawk Nelson	Smile, It's The End Of The World	The Show	spotify:2012
5xtI5OfdQNObIMffUL60v2	Hawk Nelson	Smile, It's The End Of The World	Bring Em Out	spotify:2012
0qczlwsaDXOQHPbCKO1T76	Hawk Nelson	Smile, It's The End Of The World	Something On My Mind	spotify:2012
51cTzc7yVJXnLt5n4My8zt	Hawk Nelson	Live Life Loud	Live Life Loud	spotify:2012
1Y4h0LZS6PhC76TOkTMDGU	P!nk	M!ssundaztood	M!ssundaztood	spotify:2012
2ZQ4Q9xL7W8FEgO1d4o7YH	P!nk	M!ssundaztood	Don't Let Me Get Me - LP Version/Radio Edit	spotify:2012
2Aebl2cIDLjPUvOJPH8xyH	P!nk	M!ssundaztood	Just Like A Pill - Main	spotify:2012
