spid	artist	album	song	taglist
573latfTMO7SpGtStVrQx5	New Politics	A Bad Girl In Harlem	Harlem	spotify:2014
64mh5ho7Zf6UT2hVIyxGJw	American Authors	American Authors	Believer	spotify:2014
06gpP3tBcFGCKjg0ilajMX	American Authors	American Authors	Luck	spotify:2014
25zXRQGuwYZdIp88fVZOPC	Cassadee Pope	Frame By Frame	Wasting All These Tears	spotify:2014
4wrjIq1lskP8tZuQBEdcux	Cassadee Pope	Frame By Frame	I Wish I Could Break Your Heart	spotify:2014
7JHrFyhGsBZk46PAOjiGSz	Cassadee Pope	Frame By Frame	Everybody Sings	spotify:2014
5i96tosce3JDSmacziurjK	Cassadee Pope	Frame By Frame	This Car	spotify:2014
061AiIKPNy5KQZCRCeaEWf	Cassadee Pope	Frame By Frame	One Song Away	spotify:2014
4G2aDqtGz3qJqvnsywyMZu	Cassadee Pope	Frame By Frame	11	spotify:2014
77L8knkBLWpM3GwSZfmNNR	Cassadee Pope	Frame By Frame	Proved You Wrong	spotify:2014
4ALrzuhU9cJPIXBaVeD5eH	Cassadee Pope	Cassadee Pope	Original Love	spotify:2014
3KVMJiu9sryH4wAJbrKoFv	Cassadee Pope	Cassadee Pope	Secondhand	spotify:2014
2Ml0l8YWJLQhPrRDLpQaDM	Vampire Weekend	Vampire Weekend	Oxford Comma	spotify:2014
1595LW73XBxkRk2ciQOHfr	Vampire Weekend	Vampire Weekend	A-Punk	spotify:2014
7ui9Qq4JcPGcd3xWOeXhHp	Vampire Weekend	Vampire Weekend	Campus	spotify:2014
1Bw45KRmdKpX2pkIADDP0B	Vampire Weekend	Vampire Weekend	Walcott	spotify:2014
2319gHincsCeSmc19Efi2j	Haim	Days Are Gone	Forever	spotify:2014
6golelYKuy85o3u0cxIxFK	Haim	Days Are Gone	The Wire	spotify:2014
056mbYcqyQo86Rfr9XfyYm	Haim	Days Are Gone	If I Could Change Your Mind	spotify:2014
0ZZZoPY5BBr925TtoRs64b	American Authors	Oh, What A Life	Heart Of Stone	spotify:2014
6cDJ7MHHipBaGUrq6U9TZB	American Authors	Oh, What A Life	Ghost	spotify:2014
63jtv6OVPH2SPb03icmiVo	American Authors	Oh, What A Life	Love	spotify:2014
0JIEsQu6Ht5MriueJUPRBC	Patton Sparks Band	Love, Texas & Me	Love, Texas, & Me	spotify:2014
2MDhojBzR670aj8ygMOsre	Patton Sparks Band	Love, Texas & Me	Best Thing About This Town (feat. Bri Bagwell)	spotify:2014
388ow34hy04aC4kqF9WjdQ	Patton Sparks Band	Love, Texas & Me	Lonely	spotify:2014
5eEspPHNiCKv0vuxO482yv	Patton Sparks Band	Love, Texas & Me	Tequila & Whiskey	spotify:2014
3y7oH7qCrF0MMYJWe3x1xF	Patton Sparks Band	Loaded and Loud	Who Do You Think You Are	spotify:2014
4u70vlDKpFvfY88OOxhijw	Patton Sparks Band	Loaded and Loud	Loaded and Loud	spotify:2014
1FplCml4G1U2ppKeWBfftc	Quietdrive	Up or Down	This Is Love	spotify:2014
4A1FmpP19TeXjvWvQbw5Tg	Quietdrive	Up or Down	Lie to Me	spotify:2014
1BmaQD9w9FsmhH1WUmYmDl	Quietdrive	Up or Down	Crazy	spotify:2014
11xOdq886TQL7a0ueJVi86	Quietdrive	Up or Down	Mary Jane	spotify:2014
6bp6jRra6rNTOncUCKuBIa	Quietdrive	Up or Down	All This Time	spotify:2014
1SejhOO9sGywibBVVjhOm5	Quietdrive	Up or Down	There's a Light On	spotify:2014
4u5D3bBhlIVvnrSdNqKyER	Jake Owen	Barefoot Blue Jean Night	Keepin' It Country	spotify:2014
1LwYGJMV3LQ2hUf0X1krUH	Jake Owen	Barefoot Blue Jean Night	Wide Awake	spotify:2014
5MVWpkc72ny7L65c8FGA1G	Jake Owen	Barefoot Blue Jean Night	Heaven	spotify:2014
4zD1xwm81u5YDjnMTfmSCT	Jake Owen	Barefoot Blue Jean Night	Apple Pie Moonshine	spotify:2014
2Xdatbm43IXEVi0wmKeJve	Jake Owen	Barefoot Blue Jean Night	Alone With You	spotify:2014
1Z1SatDXCRoCRq6lvz1AeA	Jake Owen	Barefoot Blue Jean Night	Nobody Feelin' No Pain	spotify:2014
7oizkVPKiJYU5CyTjrcVp0	Jake Owen	Barefoot Blue Jean Night	The One That Got Away	spotify:2014
0LrfF2AH9KTlySp6MJEWVy	Jake Owen	Startin' With Me	Something About A Woman	spotify:2014
34esXMKHZPK3wkhs5305Pd	Jake Owen	Startin' With Me	Hard Not To Love You	spotify:2014
7jryPIHQTVYtrZqJZiDpE7	Jake Owen	Easy Does It	Who Said Whiskey - Was Meant To Drink A Woman Away	spotify:2014
2bZI07vyPDjlh0MI2judp3	Jake Owen	Easy Does It	Every Reason I Go Back	spotify:2014
1o4GudIOavXLhzmgFbvPgr	Jake Owen	Days of Gold	1972	spotify:2014
5PCdkbHYacEdWbZRRPopmM	Imagine Dragons	Night Visions (Deluxe)	Tiptoe	spotify:2014
7pUYFGnZwLa7I3UmDypJGy	Imagine Dragons	Night Visions (Deluxe)	It's Time	spotify:2014
3wBIDJLDvo0h0u1mKU9Bm6	Imagine Dragons	Night Visions (Deluxe)	Amsterdam	spotify:2014
4R4sJ1jv8nxwjSl6F06yKG	Imagine Dragons	Night Visions (Deluxe)	Hear Me	spotify:2014
5QkekEa4chV2jzA6007bD6	Imagine Dragons	Night Visions (Deluxe)	Underdog	spotify:2014
2xmuIRXzKaY4naPc8AUkid	Oh Honey	With Love - EP	I Love You Will Still Sound the Same	spotify:2014
0UFT6ZLo0vBZI9xuXGhHdE	Oh Honey	With Love - EP	Be Okay	spotify:2014
1rMuxEzDlQJPEHucl4VPeQ	Oh Honey	With Love - EP	Get It Right	spotify:2014
4XOKmTc6UQ8YG16wdgNNET	Parachute	The Way It Was	You And Me	spotify:2014
2G0nQvuwLLw5rm87IARhon	Parachute	The Way It Was	Something To Believe In	spotify:2014
72R0X0h8YaxYNpegeoOl0M	Parachute	The Way It Was	Kiss Me Slowly	spotify:2014
2Y0Oi237voeqe9MvMabZNH	Parachute	The Way It Was	Halfway	spotify:2014
00hTw7P6jPUio5Qgojw38w	A Rocket To The Moon	Wild & Free (Deluxe)	Wherever You Go	spotify:2014
6EFmbMbRLW3kSPpFq8xMdv	A Rocket To The Moon	Wild & Free (Deluxe)	Nothing At All	spotify:2014
2i2C6iJWxxHP9YHjlACFox	A Rocket To The Moon	Wild & Free (Deluxe)	You're My Song	spotify:2014
2pKuhGPI5iQQ1meOYgetBL	A Rocket To The Moon	Wild & Free (Deluxe)	Whole Lotta You - Acoustic	spotify:2014
3GDMpnijcGPlD8IpJWZsxi	A Rocket To The Moon	Wild & Free (Deluxe)	Call It All Home - Bonus Track	spotify:2014
1Xz0TBCM3zbGe7QngUmS6G	Something Corporate	Played In Space: The Best of Something Corporate	I Woke Up In A Car	spotify:2014
2bLOvVNMFJ8sNUZaGxn9Sp	Something Corporate	Played In Space: The Best of Something Corporate	Hurricane - New Album Mix	spotify:2014
6GiMdFEoOkr919RxfCEOlS	Something Corporate	Played In Space: The Best of Something Corporate	I Want To Save You	spotify:2014
5NfhQeaAXq7YSa4p3iEiY8	A Rocket To The Moon	On Your Side (Deluxe)	She's Killing Me	spotify:2014
5bQAbQnS09IogcfKTgNBKF	A Rocket To The Moon	On Your Side (Deluxe)	Life Of The Party	spotify:2014
1zbhP0ovh43R2v8VjyKlBN	A Rocket To The Moon	On Your Side (Deluxe)	Where Did You Go?	spotify:2014
7wJW2myDgACMxUqcXj94NR	A Rocket To The Moon	On Your Side (Deluxe)	Sometimes	spotify:2014
0IWj2c3Gs34FgghgBSt5dw	A Rocket To The Moon	On Your Side (Deluxe)	Give A Damn	spotify:2014
1uZ9YcuHkxbeAPaDuNvcn7	A Rocket To The Moon	On Your Side (Deluxe)	No One Will Ever Get Hurt	spotify:2014
4gsK2TMWGV1PG64LVJAOhn	A Rocket To The Moon	On Your Side (Deluxe)	When I'm Gone - Bonus Track	spotify:2014
5T7ZFtCcOgkpjxcuaeZbw0	One Direction	Midnight Memories (Deluxe)	Best Song Ever	spotify:2014
5wjmqUGN7vrAqFqDWrywlZ	One Direction	Midnight Memories (Deluxe)	Midnight Memories	spotify:2014
5Lf9rCqReE9Ri4tZvLRLuy	One Direction	Midnight Memories (Deluxe)	Happily	spotify:2014
1a0PcmEJAOEp4ZT3YtSLkM	One Direction	Midnight Memories (Deluxe)	Through the Dark	spotify:2014
2Jfsw01CDT5XetSFROs9v5	One Direction	Midnight Memories (Deluxe)	Something Great	spotify:2014
2pFEbA6GdNxBOMn9Egvowm	One Direction	Midnight Memories (Deluxe)	Why Don't We Go There	spotify:2014
31tjImR06JCJswXViIvFuk	One Direction	Midnight Memories (Deluxe)	Alive	spotify:2014
3SAqw0mM2pihDo5lkhY0Ez	Parachute	Overnight	Meant To Be	spotify:2014
7qCmv4SsXVt7I415eneHVk	Parachute	Overnight	Can't Help	spotify:2014
4VXePi7SFah8FPEiBiTghU	Parachute	Overnight	Hurricane	spotify:2014
2UsraPZ07XkxvUpb6lf5hC	Parachute	Overnight	Overnight	spotify:2014
1bqvyO21SY3D84nja8bOv2	Parachute	Overnight	Didn't See It Coming	spotify:2014
6LcWyOIS3LyvH6IpLphBsV	Parachute	Overnight	The Other Side	spotify:2014
4n9tc1RCBIzH94P2Q2j9Po	Parachute	Overnight	Waiting For That Call	spotify:2014
3NtbFehQdWcaZetSMpHhe9	Lee DeWyze	Live It Up	Live It Up	spotify:2014
6206Kvrl6LTMvDomHgEDMH	Lee DeWyze	Live It Up	Sweet Serendipity	spotify:2014
41ibFUAk98eaQ4hAhMdGfF	Lee DeWyze	Live It Up	It's Gotta Be Love	spotify:2014
6MtbD9XDPESqMLU86XyIAi	Lee DeWyze	Live It Up	Beautiful Like You	spotify:2014
2XmRmXbo3yW97wLvm3nFrD	Lee DeWyze	Live It Up	Stay Here	spotify:2014
6jMMwYDsRTQNMylyM9TiKU	Lee DeWyze	Live It Up	Me And My Jealousy	spotify:2014
4J2lCzRWEJ2E7gihX2F7cc	Lee DeWyze	Frames (Deluxe)	Silver Lining	spotify:2014
