custid|custname|city|country|territory|type|status|parentid|pname
10332|Mersin University|Mersin|TR|Default Value|University|On Maintenance|10332|Mersin University
10332|Mersin University|Mersin|TR|AWR|University|On Maintenance|10332|Mersin University
10333|University of Strathclyde - Department of Electronic & Electrical Engineering|Glasgow|GB|AWR-NI|University|Ex-Customer|10333|University of Strathclyde
10334|VR Siddhartha Engineering College|Andhra Pradesh|IN|AWR-NI|University|On Maintenance|10334|VR Siddhartha Engineering College
10335|Xianzi Zhou - Personal License|NY|US|AWR-NE|Enterprise|Ex-Customer|10335|Xianzi Zhou
10336|Intel Corporation - Hawthorn Farm|OR|US|AWR-NW|Site|On Maintenance|6251|Intel Corporation
10338|Thomas Wentzien - Personal License|DE|US|AWR-SE|Enterprise|University Graduate|10338|Thomas Wentzien
10340|PMC-Sierra|BC|CA|AWR-NW|Enterprise|Off Maintenance|10340|PMC-Sierra
10341| Sumitomo Electric Networks,Inc. - Wireless Technologies Section Access Products|Osaka|JP|AWR-JP|Regional Office|Off Maintenance|9405|Sumitomo Electric Industries, Ltd.
10342|Lausitz University of Applied Sciences|Senftenberg|DE|AWR-NI|University|On Maintenance|10342|Lausitz University of Applied Sciences
10343|TERRA UAB|Kaunas|LT|AWR-APL|Enterprise|Off Maintenance|10343|TERRA UAB
10345|L-3 Narda Microwave-East (mar-14)|NY|US|AWR-NE|Regional Office|Off Maintenance|9134|L-3 Communications Holdings, Inc.
10346|Base2 Engineering - NASA Goddard Space Center|MD|US|AWR-SE|Site|On Maintenance|10097|Base2 Engineering, LLC
10348|Naval Research Laboratory (NRL) - Beam Physics Branch (Code 6790)|DC|US|AWR-SE|Regional Office|Ex-Customer|461|Naval Research Laboratory (NRL)
10349|Bahcesehir University|Istanbul|TR|ANE|Enterprise|Ex-Customer|10349|Bahcesehir University
10350|Ralph Alfano - Personal License|NY|US|AWR-NE|Enterprise|University Graduate|10350|Ralph Alfano
10351|Agency of Defense Development (ADD)|Chungcheongnam-do|KR|AWR-KR|Enterprise|Off Maintenance|10351|Agency of Defense Development (ADD)
10352|Hitachi, Ltd. - Information & Telecommunication System Company Telecommunications & Network System Division Wireless Information Dept. Group 2|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|9292|Hitachi, Ltd.
10353|University of California Los Angeles - Center for High Frequency Electronics|CA|US|AWR-NI|University|Ex-Customer|10353|University of California Los Angeles
10354|M/A-COM Technology Solutions, Inc. - Santa Clara|CA|US|AWR-NW|Site|On Maintenance|9121|M/A-COM Technology Solutions, Inc.
10355|Apple, Inc.|CA|US|AWR-NW|Enterprise|On Maintenance|10355|Apple, Inc.
10358|Purdue University - Nanotechnology Center|IN|US|AWR-NI|University|On Maintenance|10358|Purdue University
10359|Florida Atlantic University|FL|US|AWR-NI|University|On Maintenance|10359|Florida Atlantic University
10360|Defence Science and Technology Organisation (DSTO) - C3ID|Adelaide|AU|AWR-AU|Regional Office|Off Maintenance|8782|Defence Science and Technology Organisation (DSTO)
10362|Goodrich Corporation - Sensors and Integrated Systems|VT|US|AWR-NE|Enterprise|On Maintenance|10362|Goodrich Corporation
10364|Curtin University - Radio Astronomy|WA|AU|Default Value|University|On Maintenance|10364|Curtin University
10364|Curtin University - Radio Astronomy|WA|AU|AWR|University|On Maintenance|10364|Curtin University
10366|Industrial Technology Research Institute (ITRI) - Center for Measurement Standards Department code: U000|Hsinchu|TW|AWR-TSMC|Regional Office|Off Maintenance|1053|Industrial Technology Research Institute (ITRI)
10367|Spacelabs Healthcare Ltd.|Edinburgh|GB|AWR-UK|Enterprise|Ex-Customer|10367|Spacelabs Healthcare Ltd.
10368|Spacek Labs, Inc.|CA|US|AWR-SW|Enterprise|Off Maintenance|10368|Spacek Labs, Inc.
10369|EPCOS Inc. - San Diego|CA|US|AWR-SW|Regional Office|Off Maintenance|9240|EPCOS AG
10370|Toyohashi University of Technology|Aichi|JP|AWR-JP|University|On Maintenance|10370|Toyohashi University of Technology
10371|Hunter Technology Corporation|CA|US|AWR-NW|Enterprise|Off Maintenance|10371|Hunter Technology Corporation
10372|Tennessee Technological University|TN|US|AWR-NI|University|On Maintenance|10372|Tennessee Technological University
10373|BAE Systems Rokar International Ltd|Jerusalem|IL|AWR-IL|Regional Office|Off Maintenance|9201|BAE Systems plc
10374|OKB Planeta (OJSC)|Veliky Novgorod|RU|ETR|Enterprise|On Maintenance|10374|OKB Planeta (OJSC)
10375|Naval Surface Warfare Center (NSWC) - Dahlgren Code Q53|VA|US|AWR-SE|Regional Office|On Maintenance|6728|Naval Surface Warfare Center (NSWC) Dahlgren (jul-14)
10376|TOTO Ltd. - Central Technology Center|Fukuoka|JP|AWR-JP|Regional Office|Off Maintenance|6097|TOTO Ltd.
10377|Broadcom Communications Finland Oy - Wireless Modem R&D - Oulu (jul-14)|Oulu|FI|AWR-APL|Regional Office|Ex-Customer|77|Broadcom Corporation
10378|Natel Engineering Co., Inc.|CA|US|AWR-SW|Enterprise|Off Maintenance|10378|Natel Engineering Co., Inc.
10379|LIG Nex1|Gyeonggi|KR|AWR-KR|Enterprise|Off Maintenance|10379|LIG Nex1
10380|Espotel Oy - JyvSskylS|JyvSskylS|FI|AWR-APL|Regional Office|Off Maintenance|10556|Espotel Oy
10381|Sagem DTfense STcuritT|Eragny-sur-Oise|FR|AWR-FR|Regional Office|Off Maintenance|8920|Sagem Communication
10382|University of Massachusetts Amherst|MA|US|AWR-NI|University|On Maintenance|10382|University of Massachusetts Amherst
10383|ZTEC Instruments Inc. - NM|NM|US|AWR-SW|Enterprise|Payment Due|10383|ZTEC Instruments Inc.
10384|ZTEC Instruments Inc. - FL|FL|US|AWR-SE|Regional Office|Off Maintenance|10383|ZTEC Instruments Inc.
10385|Suleyman Demirel University - West Campus|Isparta|TR|AWR-NI|University|Ex-Customer|10385|Suleyman Demirel University
10386|E-Blink|Essonne|FR|AWR-FR|Enterprise|On Maintenance|10386|E-Blink
10387|Nemanja Jojic - Personal License|NJ|US|AWR-NE|Enterprise|University Graduate|10387|Nemanja Jojic
10389|University of Pune - Department of Electronic Science|Maharashtra|IN|AWR-NI|University|On Maintenance|10389|University of Pune
10390|TriQuint Semiconductor - Costa Rica|Heredia|CR|AWR-SW|Regional Office|Ex-Customer|665|TriQuint Semiconductor
10392|Selcuk Universitesi - Muhendislik Mimarligi Fakultesi|Konya|TR|AWR-NI|University|Ex-Customer|10392|Selcuk Universitesi
10393|CRFS Limited|Cambridgeshire|GB|AWR-UK|Enterprise|On Maintenance|10393|CRFS Limited
10394|Alcatel-Lucent - Velizy|Velizy|FR|AWR-FR|Regional Office|Ex-Customer|9021|Alcatel-Lucent
10395|LAAS-CNRS - Commercial|Cedex 4|FR|AWR-FR|Enterprise|Off Maintenance|10395|LAAS-CNRS
10396|GITAM University - Department of Electronic and Computer Engineering|Andhra Pradesh|IN|AWR-NI|University|On Maintenance|10396|GITAM University
10397|Powerfinn Oy|Salo|FI|AWR-APL|Enterprise|Off Maintenance|10397|Powerfinn Oy
10398|Fachhochschule Kiel - University of Applied Sciences|SW|DE|AWR-NI|University|On Maintenance|10398|Fachhochschule Kiel
10402|Postech University of Science and Technology - Electrical Engineering|Pohang|KR|AWR-NI|University|Ex-Customer|10402|Postech University of Science and Technology
10403|Radio Research and Development Institute (NIIR)|Moscow|RU|ROD|Enterprise|Off Maintenance|10403|Radio Research and Development Institute (NIIR)
10405|Naval Research Laboratory (NRL) - Satellite and Wireless Communications (Code 5554) (feb-14)|DC|US|AWR-SE|Regional Office|Off Maintenance|461|Naval Research Laboratory (NRL)
10406|Elman S.r.l.|Rome|IT|MED|Enterprise|On Maintenance|10406|Elman S.r.l.
10407|University of Southampton - Electronics and Computer Science|Hampshire|GB|AWR-NI|University|On Maintenance|10407|University of Southampton
10411|L-3 Communications - Narda Microwave - East|CA|US|AWR-SW|Regional Office|On Maintenance|9134|L-3 Communications Holdings, Inc.
10413|Huawei Technologies Co., Ltd. - Shanghai|Shanghai|CN|AWR-AP|Site|Evaluator|10065|Huawei Technologies Co., Ltd.
10414|Huawei Technologies Co., Ltd. - Chengdu|Sichuan |CN|AWR-AP|Regional Office|On Maintenance|10065|Huawei Technologies Co., Ltd.
10416|SAAB Grintek Defence (Pty) Ltd, Trading as Electronic Defence Systems (mar-14)|Muizenberg|ZA|DSC|Enterprise|Off Maintenance|10416|SAAB Grintek Defence (Pty) Ltd, Trading as Electronic Defence Systems (mar-14)
10418|Brunel University|Middlesex|GB|AWR-NI|University|On Maintenance|10418|Brunel University
10419|Simone Winkler - Personal License|CA|US|AWR-NW|Enterprise|University Graduate|10419|Simone Winkler
10421|Ixonos Plc |JyvSskylS|FI|AWR-APL|Enterprise|Off Maintenance|10421|Ixonos Plc 
10423|Lenovo Japan Ltd. - Yamato R&D Center|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|8607|Lenovo Japan, Ltd. Product development Lab,  Engineering Technology
10424|Yokogawa Electric Corporation - IA Platform Businesss Headquarters Foundation Technology|Tokyo|JP|AWR-JP|Regional Office|Off Maintenance|3559|Yokogawa Electric Corporation
10425|RWTH Aachen University|NRW|DE|AWR-NI|University|On Maintenance|10425|RWTH Aachen University
10426|High Frequency Engineering Sagl|GR|CH|WLB|Enterprise|Partner|10426|High Frequency Engineering Sagl
10427|King Fahd University of Petroleum and Minerals|Eastern|SA|AWR-NI|University|On Maintenance|10427|King Fahd University of Petroleum and Minerals
10428|Xsight Systems|Rosh Ha'ayin|IL|AWR-IL|Enterprise|Ex-Customer|10428|Xsight Systems
10429|Girish Chitnis - Personal License|IN|US|AWR-NE|Enterprise|Ex-Customer|10429|Girish Chitnis
10430|FSUE KNIRTI| Zhukov|RU|ROD|Regional Office|Off Maintenance|8654|FSUE Central Design Bureau of Automatics (oct-07)
10431|Keigo Ito - Personal License|Fukuoka-ken|JP|AWR-JP|Enterprise|Ex-Customer|10431|Keigo Ito
10432|Microsemi Frequency and Time Corporation|MA|US|AWR-NE|Regional Office|On Maintenance|10569|Microsemi Corporation
10433|EPCOS Technology (Wuxi) Co., Ltd|Jiangsu|CN|RSN|Regional Office|Off Maintenance|9240|EPCOS AG
10434|Ambedkar Institute of Technology - Department of Electronics & Communications Engineering|Delhi|IN|AWR-NI|University|Ex-Customer|10434|Ambedkar Institute of Technology
10435|Aeroflex Motion Control Products - Hauppauge|NY|US|AWR-NE|Site|On Maintenance|306|Aeroflex
10436|Audemat|Merignac|FR|AWR-FR|Enterprise|On Maintenance|10436|Audemat
10437|University of New Haven|CT|US|AWR-NI|University|On Maintenance|10437|University of New Haven
10438|Microwave Solutions Ltd. - Hellaby|South Yorkshire|GB|AWR-UK|Site|On Maintenance|10000021|Microwave Solutions Ltd.
10439|Comtec Hiroshima Co., Ltd - Happonmatsu Office|Hiroshima|JP|AWR-JP|Enterprise|Off Maintenance|10439|Comtec Hiroshima Co., Ltd
10440|Polytecnic Institute of NYU - ECE|NY|US|AWR-NI|University|On Maintenance|10440|Polytecnic Institute of NYU
10442|Teppei Takashima - Personal License|Fukuoka|JP|AWR-JP|Enterprise|University Graduate|10442|Teppei Takashima
10444|Universiti Teknologi MARA (UiTM) - Faculty of Engineering|Selangor|MY|AWR-NI|University|Ex-Customer|10444|Universiti Teknologi MARA (UiTM)
10446|Telecommunication Metrology Center of the MIIT(sep-13)|Beijing|CN|AWR-TSMC|Enterprise|Off Maintenance|10446|Telecommunication Metrology Center of the MIIT(sep-13)
10448|Topanga USA|CA|US|AWR-SW|Enterprise|On Maintenance|10448|Topanga USA
10449|Wavelab Engineering AG|LStti|CH|WLB|Rep|Partner|10449|Wavelab Engineering AG
1045|Renaissance Electronics & Communications LLC|MA|US|AWR-NE|Enterprise|Ex-Customer|1045|Renaissance Electronics & Communications LLC
10450|Amimon Ltd.|Herzlia|IL|AWR-IL|Enterprise|Ex-Customer|10450|Amimon Ltd.
10451|Evolution Telecommunications Technology  Ltd (ETT)|West Yorkshire|GB|AWR-UK|Enterprise|Out of Business|10451|Evolution Telecommunications Technology  Ltd (ETT)
10452|Tohoku University - Department of Nano-Mechanics - Facility of Engineering|Miyagi|JP|NI-JP|NI Academic|On Maintenance|10452|Tohoku University
10453|Cedarville University|OH|US|AWR-NI|University|On Maintenance|10453|Cedarville University
10454|The University of Tokushima|Tokushima|JP|NI-JP|NI Academic|On Maintenance|10454|The University of Tokushima
10455|Lockheed Martin Space Systems Company - Littleton|CO|US|AWR-SW|Regional Office|Off Maintenance|10010004|Lockheed Martin Corporation
10456|Trupa Sarkar - Personal License|Assam|IN|AWR-AP|Enterprise|University Graduate|10456|Trupa Sarkar
10457|Specialist Microwave Solutions Limited|Bedfordshire|GB|AWR-UK|Enterprise|On Maintenance|10457|Specialist Microwave Solutions Limited
10459|University of Wyoming|WY|US|AWR-NI|University|On Maintenance|10459|University of Wyoming
10461|Ho Chi Minh City University of Technology (HCMUT)|Ho Chi Minh City|VN|AWR-NI|University|On Maintenance|10461|Ho Chi Minh City University of Technology (HCMUT)
10462|Asahi Glass Co., Ltd - Keihin Plant|Kanagawa|JP|AWR-JP|Regional Office|Ex-Customer|5032|Asahi Glass Co., Ltd.
10463|University of Stuttgart|Stuttgart|DE|AWR-NI|University|On Maintenance|10463|University of Stuttgart
10464|UniversitT de Caen - Campus 2|Cedex 5|FR|AWR-FR|University|On Maintenance|10464|Universit? de Caen
10465|Indra Navia AS|Oslo|NO|AWR-SC|Regional Office|On Maintenance|9145|Indra Sistemas S.A.
10466|University of Erlangen - Nurnberg - Lehrstuhl fnr Hochfrequenztechnik|Bavaria|DE|AWR-NI|University|On Maintenance|10466|University of Erlangen
10467|Jeffrey Pawlan|CA|US|AWR-NW|Enterprise|Partner|10467|Jeffrey Pawlan
10468|Joint-Stock Company Ural Design Bureau DETAL, (UPKB Detal)|Sverdlovskii|RU|ETR|Enterprise|On Maintenance|10468|Joint-Stock Company Ural Design Bureau DETAL, (UPKB Detal)
10469|Ecole Polytechnique of Montreal - Poly Grames Research Center|QC|CA|AWR-NI|University|On Maintenance|10469|Ecole Polytechnique of Montreal
10470|CINVESTAV-IPN|DF|MX|Default Value|University|On Maintenance|10470|CINVESTAV-IPN
10470|CINVESTAV-IPN|DF|MX|AWR|University|On Maintenance|10470|CINVESTAV-IPN
10472|Sparton Electronics|FL|US|AWR-SE|Enterprise|On Maintenance|10472|Sparton Electronics
10473|Ben Bovee - Personal License|MA|US|AWR-NE|Enterprise|University Graduate|10473|Ben Bovee
10474|Mwave Solutions|North Yorkshire|GB|AWR-UK|Enterprise|On Maintenance|10474|Mwave Solutions
10475|University of Wollongong - ITC Research Institute|NSW|AU|Default Value|University|On Maintenance|10475|University of Wollongong
10475|University of Wollongong - ITC Research Institute|NSW|AU|AWR|University|On Maintenance|10475|University of Wollongong
10477|Microwave Systems Joint-Stock Company|Moscow|RU|ROD|Enterprise|Off Maintenance|10477|Microwave Systems Joint-Stock Company
10478|Technological Educational Institute of Western Greece - Department of Computers and Informatics Engineering|(Varia)|GR|AWR-NI|University|On Maintenance|10478|Technological Educational Institute of Western Greece
10480|Paragon AG|Nnrnberg|DE|AWR-DE|Enterprise|Off Maintenance|10480|Paragon AG
10481|Res-Net Microwave|FL|US|AWR-SE|Enterprise|Ex-Customer|10481|Res-Net Microwave
10482|David Nummey - Personal License|NJ|US|AWR-NE|Enterprise|University Graduate|10482|David Nummey
10483|SI2 Technologies, Inc.|MA|US|AWR-NE|Enterprise|On Maintenance|10483|SI2 Technologies, Inc.
10484|Sumitomo Electric Device Innovations Inc|Yamanashi|JP|AWR-JP|Regional Office|Off Maintenance|9405|Sumitomo Electric Industries, Ltd.
10487|Rohde & Schwarz Hellas A.E. - Greece|Athens|GR|RSL|Rep|On Maintenance|10487|Rohde & Schwarz Hellas A.E.
10488|Electronics Corporation of India Limited - Communication Systems Group (M&E/MMD)|Hyderabad|IN|AWR-AP|Enterprise|On Maintenance|10488|Electronics Corporation of India Limited
10489|University of Texas at Tyler|TX|US|AWR-NI|University|On Maintenance|10489|University of Texas at Tyler
10490|Fiber Logic Communications, Inc.|Hsinchu|TW|AWR-TSMC|Enterprise|Off Maintenance|10490|Fiber Logic Communications, Inc.
10491|National Taiwan Ocean Unviversity|Keelung|TW|AWR-NI|University|Ex-Customer|10491|National Taiwan Ocean Unviversity
10492|National Kaohsiung Marine University|Kaohsiung|TW|AWR-NI|University|On Maintenance|10492|National Kaohsiung Marine University
10493|Javier De Luis - Personal License|WA|US|AWR-NW|Enterprise|University Graduate|10493|Javier De Luis
10494|Atlanta Micro|GA|US|AWR-SE|Enterprise|On Maintenance|10494|Atlanta Micro
10495|Aselsan - Communications Division - Cankaya|Ankara|TR|ANE|Regional Office|On Maintenance|9969|Aselsan Inc.
10496|National Instruments Italy S.r.l. - Milan|Milan|IT|MED|Site|On Maintenance|6564|National Instruments
10497|Cem Korkmaz - Personal License (Grad Gift)|Istanbul|TR|ANE|Enterprise|University Graduate|10497|Cem Korkmaz
10498|University of Texas at Austin|TX|US|AWR-NI|University|On Maintenance|10498|University of Texas at Austin
10499|Mediatek - Kent Design Centre|Kent|GB|AWR-UK|Regional Office|Off Maintenance|7375|MediaTek Inc.
10500|Moscow Engineering Physics Institute (MEPHI)|Moscow|RU|AWR-NI|University|Ex-Customer|10500|Moscow Engineering Physics Institute (MEPHI)
10501|EPCOS PTE Ltd. - Singapore|Singapore|SG|AWR-TSMC|Regional Office|On Maintenance|9240|EPCOS AG
10502|GreenPeak Technologies BV|Utrecht|NL|AWR-BNL|Enterprise|On Maintenance|10502|GreenPeak Technologies BV
10503|Daegu Gyeongbuk Institute of Science and Technology (DGIST)|Dalseong-gun|KR|AWR-NI|University|On Maintenance|10503|Daegu Gyeongbuk Institute of Science and Technology (DGIST)
10505|ZTE Corporation - Parent|Shenzhen|CN|AWR-TSMC|Enterprise|Off Maintenance|10505|ZTE Corporation
1051|ACCO-USA|MA|US|AWR-NE|Enterprise|Ex-Customer|1051|ACCO-USA
10511|National Chiayi University|Chiayi City|TW|AWR-NI|University|On Maintenance|10511|National Chiayi University
10512|Karunya University - Department of Electrical and Computer Engineering|Coimbatore|IN|AWR-NI|University|On Maintenance|10512|Karunya University
10513|Jain University - Centre for Emerging Technology|Karnataka|IN|AWR-NI|University|On Maintenance|10513|Jain University
10516|Chung-Shan Institute of Science and Technology (CSIST)|Taoyuan|TW|AWR-TSMC|Regional Office|Ex-Customer|112|Chung-Shan Institute of Science and Technology (jun-06)
10517|Efkon AG|Raaba|AT|AWR-DE|Enterprise|Off Maintenance|10517|Efkon AG
10521|Honam University|Gwangju|KR|AWR-NI|University|On Maintenance|10521|Honam University
10523|Elliott Miller - Personal License|AL|US|AWR-SE|Enterprise|University Graduate|10523|Elliott Miller
10524|Ademakinwa Adetoro - Personal License|West Yorkshire|GB|AWR-UK|Enterprise|University Graduate|10524|Ademakinwa Adetoro
10525|Sam Grenadier - Personal License|TX|US|AWR-CE|Enterprise|University Graduate|10525|Sam Grenadier
10526|Sogang University|Seoul|KR|AWR-NI|University|Ex-Customer|10526|Sogang University
10527|Nuvotronics - VA|VA|US|AWR-SE|Enterprise|Ex-Customer|10527|Nuvotronics
10528|Dennis Van Den Broeck - Personal License|NC|US|AWR-SE|Enterprise|University Graduate|10528|Dennis Van Den Broeck
10529|LGS Innovations|CO|US|AWR-SW|Enterprise|On Maintenance|10529|LGS Innovations
1053|Industrial Technology Research Institute (ITRI) - Parent|Hsinchu|TW|AWR-TSMC|Enterprise|Off Maintenance|1053|Industrial Technology Research Institute (ITRI)
10530|Xi'an Electronic Engineering Research Institute|Shanxi|CN|AWR-TSMC|Enterprise|Off Maintenance|10530|Xi'an Electronic Engineering Research Institute
10531|Ariel University Center of Samaria|Ariel|IL|Default Value|University|On Maintenance|10531|Ariel University Center of Samaria
10531|Ariel University Center of Samaria|Ariel|IL|AWR|University|On Maintenance|10531|Ariel University Center of Samaria
10532|Robinson Faez - Personal License|Antofagasta|CL|NI-CL|Enterprise|University Graduate|10532|Robinson Faez
10533|Ravikiran Arumugam - Personal License|TX|US|AWR-CE|Enterprise|University Graduate|10533|Ravikiran Arumugam
10534|Ericsson AB - Ericsson Supply Site MIC - Kista|Stockholm|SE|AWR-SC|Site|On Maintenance|1050|LM Ericsson
10535|Altium Inc.|MA|US|AWR-NE|Enterprise|Partner|10535|Altium Inc.
10536|IXYS Corporation|CA|US|AWR-NW|Enterprise|Ex-Customer|10536|IXYS Corporation
10538|Polleo Engineering|CA|US|AWR-SW|Enterprise|Off Maintenance|10538|Polleo Engineering
10539|General Dynamics - SATCOM Technologies - Richardson|TX|US|AWR-CE|Regional Office|On Maintenance|8370|General Dynamics
1054|Industrial Technology Research Institute (ITRI) - Materials Research Laboratories (MRL)|Hsinchu|TW|AWR-TSMC|Regional Office|Off Maintenance|1053|Industrial Technology Research Institute (ITRI)
10540|Nippon Telegraph and Telephone Corporation (NTT) - Photonics Laboratories, Advanced Opto-electronics|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|9972|Nippon Telegraph and Telephone Corporation (NTT)
10541|Microwave Technology Inc.|CA|US|AWR-NW|Site|Ex-Customer|10536|IXYS Corporation
10542|NED University of Engineering & Technology|Sindh|PK|Default Value|University|On Maintenance|10542|NED University of Engineering & Technology
10542|NED University of Engineering & Technology|Sindh|PK|AWR|University|On Maintenance|10542|NED University of Engineering & Technology
10544|Alcatel Lucent - Plano|TX|US|AWR-CE|Site|On Maintenance|9021|Alcatel-Lucent
10545|Danang University of Technology - Advanced Program ECE|Danang|VN|AWR-NI|NI Academic|On Maintenance|10545|Danang University of Technology
10547|Akif Ozkan - Personal License|Istanbul|TR|ANE|Enterprise|University Graduate|10547|Akif Ozkan
10549|Cal Poly Pomona|CA|US|AWR-NI|University|On Maintenance|10549|Cal Poly Pomona
10551|Lucerne University of Applied Sciences and Arts|Horw|CH|AWR-NI|University|On Maintenance|10551|Lucerne University of Applied Sciences and Arts
10553|Nuvotronics - AZ|AZ|US|AWR-SW|Site|On Maintenance|10527|Nuvotronics
10554|MKS Medical Electronics (oct-13)|CO|US|AWR-SW|Enterprise|Off Maintenance|10554|MKS Medical Electronics (oct-13)
10555|Vietnam Military Technical Academy (VMTA)|Ha N?i|VN|NET|University|On Maintenance|10555|Vietnam Military Technical Academy (VMTA)
10557|LeTourneau University|TX|US|Default Value|University|Ex-Customer|10557|LeTourneau University
10557|LeTourneau University|TX|US|AWR|University|Ex-Customer|10557|LeTourneau University
10558|National Penghu University of Science and Technology|Penghu|TW|AWR-NI|University|Ex-Customer|10558|National Penghu University of Science and Technology
10559|National United University|Miaoli|TW|AWR-NI|University|On Maintenance|10559|National United University
10560|National Kaohsiung Normal University|Kaohsiung|TW|AWR-NI|University|Ex-Customer|10560|National Kaohsiung Normal University
10561|National Formosa University|Yunlin County|TW|AWR-NI|University|Ex-Customer|10561|National Formosa University
10564|Comdel Inc.|MA|US|AWR-NE|Enterprise|Off Maintenance|10564|Comdel Inc.
10565|National Instruments - Brazil|SP|BR|NI-BR|Rep|On Maintenance|6564|National Instruments
10566|M/A-COM Technology Solutions, Inc. - Torrance|CA|US|AWR-SW|Site|On Maintenance|9121|M/A-COM Technology Solutions, Inc.
10567|Eta Devices, Inc.|MA|US|AWR-NE|Enterprise|On Maintenance|10567|Eta Devices, Inc.
10568|Microsemi Corporation - Austin|TX|US|AWR-CE|Regional Office|Ex-Customer|10569|Microsemi Corporation
10570|Colorado Engineering, Inc.|CO|US|AWR-SW|Enterprise|On Maintenance|10570|Colorado Engineering, Inc.
10575|Nokia Solutions and Networks (NSN) - Illinois|IL|US|AWR-NE|Site|On Maintenance|9306|Nokia Solutions and Networks (NSN)
10579|Qualcomm Wireless GmbH|MSgenwil|CH|WLB|Regional Office|On Maintenance|3808|Qualcomm Technologies, Inc.
10580|Francisco Gallardo Lopez - Personal License|Madrid|ES|AWR-SP|Enterprise|University Graduate|10580|Francisco Gallardo Lopez
10581|Universitatea Politehnica din Bucuresti - Electronic, Telecommunication and Information Technology  - Bucharest|Bucharest|RO|AWR-NI|University|On Maintenance|10581|Universitatea Politehnica din Bucuresti
10582|National Ilan University |Yilan County|TW|AWR-NI|University|Ex-Customer|10582|National Ilan University 
10583|Rockwell Collins|GA|US|AWR-SE|Site|On Maintenance|4862|Rockwell Collins
10584|Robel Teferawork - Personal License|TX|US|AWR-CE|Enterprise|University Graduate|10584|Robel Teferawork
10585|Kumoh National Institute of Technology|Gyeongbuk|KR|AWR-NI|University|On Maintenance|10585|Kumoh National Institute of Technology
10586|Northwest China Research Institute of Electronic Equipment (NWIEE) (nov-13)|Shanxi|CN|AWR-TSMC|Enterprise|Off Maintenance|10586|Northwest China Research Institute of Electronic Equipment (NWIEE) (nov-13)
10587|National Instruments China - Shanghai|Shanghai|CN|AWR-TSMC|Site|On Maintenance|6564|National Instruments
10588|NuWaves Engineering|OH|US|AWR-NE|Enterprise|Off Maintenance|10588|NuWaves Engineering
10589|National Instruments - Australia - VIC|Victoria|AU|AWR-AU|Site|On Maintenance|6564|National Instruments
1059|Samsung Electromechanics Co - FEM Team (dec-09)|Kyongi-do|KR|AWR-KR|Regional Office|Off Maintenance|9167|Samsung
10590|ISTA International GmbH|Essen|DE|AWR-DE|Enterprise|Off Maintenance|10590|ISTA International GmbH
10591|National Instruments Vietnam|Ho Chi Minh City|VN|NET|Site|On Maintenance|6564|National Instruments
10592|University of Pretoria - Carl & Emily Fuchs Institute for Microelectronics|Gauteng|ZA|AWR-NI|University|On Maintenance|10592|University of Pretoria
10593|National Instruments Belgium|Zaventem|BE|AWR-BNL|Site|On Maintenance|6564|National Instruments
10594|ABB Schweiz AG|Aargau|CH|WLB|Enterprise|On Maintenance|10594|ABB Schweiz AG
10595|National Instruments Israel Ltd|Tel-Aviv|IL|AWR-IL|Site|On Maintenance|6564|National Instruments
10596|National Instruments Spain|Madrid|ES|AWR-SP|Site|On Maintenance|6564|National Instruments
10597|The Ohio State University|OH|US|AWR-NI|University|On Maintenance|10597|The Ohio State University
10599|AAC Technologies Pte. Ltd. - Singapore|Singapore|SG|AWR-TSMC|Enterprise|On Maintenance|10599|AAC Technologies Pte. Ltd.
106|Andrew Corporation - Glen Rock PA|PA|US|AWR-NE|Regional Office|Out of Business|9022|CommScope, Inc.
10600|RC MASPOS d.o.o.|Gornja Radgona|SI|AWR-EU|Enterprise|Off Maintenance|10600|RC MASPOS d.o.o.
10601|Shanghai Amphenol Airwave Communication Electronics Co., Ltd.|Shanghai|CN|AWR-TSMC|Enterprise|Off Maintenance|10601|Shanghai Amphenol Airwave Communication Electronics Co., Ltd.
10602|BlueComet Co., Ltd.|Beijing|CN|BLC|Rep|On Maintenance|10602|BlueComet Co., Ltd.
10603|SMA Solar Technology AG|Niestetal|DE|AWR-DE|Enterprise|Off Maintenance|10603|SMA Solar Technology AG
10604|National Instruments Armenia|Yerevan|AM|ETR|Site|On Maintenance|6564|National Instruments
10605|National Instruments Delhi|New Delhi|IN|AWR-EU|Site|On Maintenance|6564|National Instruments
10606|Quasonix, LLC|OH|US|AWR-NE|Enterprise|On Maintenance|10606|Quasonix, LLC
10608|Cover Sistemi Srl|BS|IT|MED|Enterprise|On Maintenance|10608|Cover Sistemi Srl
10609|Special Technology Center Ltd (OOO STC)|Saint-Petersburg|RU|ETR|Enterprise|Off Maintenance|10609|Special Technology Center Ltd (OOO STC)
10610|Solta Medical, Inc.|CA|US|AWR-NW|Enterprise|Off Maintenance|10610|Solta Medical, Inc.
10611|Institute of Electronics, Chinese Academy of Sciences (feb-14)|Beijing|CN|AWR-TSMC|Enterprise|Off Maintenance|10611|Institute of Electronics, Chinese Academy of Sciences (feb-14)
10612|Booz Allen Hamilton|VA|US|AWR-SE|Enterprise|Off Maintenance|10612|Booz Allen Hamilton
