custid|custname|city|country|territory|type|status|parentid|pname
10010060|Cree Microwave - CA|CA|US|AWR-NW|Regional Office|Out of Business|9019|Cree, Inc.
10010072|Mitsubishi Electric Corporation|Hyogo|JP|AWR-JP|Regional Office|On Maintenance|9023|Mitsubishi Electric Corporation
10010082|Universal Semiconductor Tech, Inc.|CA|US|AWR-NW|Enterprise|Ex-Customer|10010082|Universal Semiconductor Tech, Inc.
10010086|Panasonic Corporation - Semiconductor Device Development Center (mar-02)|Osaka|JP|AWR-JP|Regional Office|Off Maintenance|9429|Panasonic
10010088|SOMA Networks, Inc. (may-11)|CA|US|AWR-NW|Enterprise|Off Maintenance|10010088|SOMA Networks, Inc. (may-11)
10010093|Leidos Corporation - FL|FL|US|AWR-SE|Regional Office|Off Maintenance|9995|Leidos Corporation
10010094|Space and Naval Warfare (SPAWAR) Systems Center - Optoelectronics Branch (apr-02)|CA|US|AWR-SW|Enterprise|No Service/Support|10010094|Space and Naval Warfare (SPAWAR) Systems Center
10010095|Clevo (oct-07)|Taipei Hsien|TW|AWR-TSMC|Enterprise|Off Maintenance|10010095|Clevo (oct-07)
10010097|Ceragon Networks Ltd|Tel-Aviv|IL|AWR-IL|Enterprise|Off Maintenance|10010097|Ceragon Networks Ltd
10010098|Raytheon Systems, Ltd.|Essex|GB|AWR-UK|Regional Office|On Maintenance|6173|Raytheon
10010099|Industrial Technology Research Institute (ITRI) - Center for Aviation and Space Technology (CAST)|Hsinchu|TW|AWR-TSMC|Regional Office|Off Maintenance|1053|Industrial Technology Research Institute (ITRI)
10010101|Sensors Unlimited, Inc.  (jan-04)|NJ|US|AWR-NE|Enterprise|Off Maintenance|10010101|Sensors Unlimited, Inc.  (jan-04)
10010102|Quantum Devices, Inc.|CA|US|AWR-SW|Enterprise|Ex-Customer|10010102|Quantum Devices, Inc.
10010103|FGAN û Research Establishment for Applied Science|Wachtberg|DE|AWR-DE|Enterprise|On Maintenance|10010103|FGAN ? Research Establishment for Applied Science
10010105|Government of Israel - Ministry of Defense - Rafael ME Project|NJ|US|AWR-NE|Enterprise|Off Maintenance|10010105|Government of Israel
10010106|Optillion AB (jan-02)|Kista|SE|AWR-SC|Enterprise|Off Maintenance|10010106|Optillion AB (jan-02)
10010108|JFW Industries, Inc|IN|US|AWR-NE|Enterprise|Off Maintenance|10010108|JFW Industries, Inc
10010110|DME Corporation|FL|US|AWR-SE|Enterprise|Ex-Customer|10010110|DME Corporation
10010111|Universita degli Studi L'Aquila - Facolta di Ingegneria|L'Aquila|IT|AWR-NI|University|On Maintenance|10010111|Universita degli Studi L'Aquila
10010112|Universita degli Studi Di Ferrara - Facolta di Ingegneria|Ferrara|IT|MED|University|On Maintenance|10010112|Universita degli Studi Di Ferrara
10010113|Middlesex University|missing|GB|AWR-NI|University|Ex-Customer|10010113|Middlesex University
10010116|Redwave Networks|CA|US|AWR-NW|Enterprise|Out of Business|10010116|Redwave Networks
10010120|Eglin Air Force Base (feb-04)|FL|US|AWR-SE|Enterprise|Off Maintenance|10010120|Eglin Air Force Base (feb-04)
10010121|Maxwell Technologies (jan-04)|CA|US|AWR-SW|Enterprise|Off Maintenance|10010121|Maxwell Technologies (jan-04)
10010122|Chang Gung University|Tao-Yuan|TW|AWR-NI|University|Ex-Customer|10010122|Chang Gung University
10010123|Interwave Communications (apr-02)|CA|US|AWR-NW|Enterprise|Off Maintenance|10010123|Interwave Communications (apr-02)
10010124|Yokohama National University|Kanagawa|JP|NI-JP|University|Ex-Customer|10010124|Yokohama National University
10010125|University of Hawaii at Manoa - College of Electrical Engineering|HI|US|Default Value|University|On Maintenance|10010125|University of Hawaii at Manoa
10010125|University of Hawaii at Manoa - College of Electrical Engineering|HI|US|AWR|University|On Maintenance|10010125|University of Hawaii at Manoa
10010126|University of Queensland|QLD|AU|Default Value|University|On Maintenance|10010126|University of Queensland
10010126|University of Queensland|QLD|AU|AWR|University|On Maintenance|10010126|University of Queensland
10010127|LSI Logic Corporation - Reading (jan-04)|PA|US|AWR-NE|Regional Office|Off Maintenance|9422|LSI Corporation
10010128|Cisco Photonics (dec-01)|Hagersten|SE|AWR-SC|Regional Office|Off Maintenance|122|Cisco Systems
10010131|FH Koblenz FB Elektrotechnik|Koblenz|DE|AWR-NI|University|Ex-Customer|10010131|FH Koblenz FB Elektrotechnik
10010134|Proxim Wireless Networks|CA|US|AWR-NW|Enterprise|Ex-Customer|10010134|Proxim Wireless Networks
10010138|SELEX Communications S.p.A. - Milan (jan-13)|Milano|IT|MED|Regional Office|Off Maintenance|9081|Finmeccanica
10010140|SIPEX Flanders Design Center (jun-02)|Zaventem|BE|AWR-BNL|Enterprise|Off Maintenance|10010140|SIPEX Flanders Design Center (jun-02)
10010142|Beijing Post & Telecommunication University|Beijing|CN|AWR-NI|University|Ex-Customer|10010142|Beijing Post & Telecommunication University
10010146|Blonder Tongue Laboratories, Inc.|NJ|US|AWR-NE|Enterprise|Ex-Customer|10010146|Blonder Tongue Laboratories, Inc.
10010148|Ericsson Lab Italy - Rome|Rome|IT|MED|Regional Office|Ex-Customer|1050|LM Ericsson
10010149|Intracom Defense Electronics S.A.|Attika|GR|MED|Enterprise|On Maintenance|10010149|Intracom Defense Electronics S.A.
10010152|Siemens Central Research Center|Munich|DE|AWR-DE|Regional Office|On Maintenance|10010005|Siemens AG
10010154|Advantest Europe|Courtaboeuf|FR|AWR-FR|Regional Office|Ex-Customer|0|Advantest America, Inc.
10010158|Acer Communication (mar-02)|Tao-Yuan|TW|AWR-TSMC|Enterprise|Off Maintenance|10010158|Acer Communication (mar-02)
10010161|Alcatel Submarine Networks - Nozay|Nozay|FR|AWR-FR|Regional Office|Ex-Customer|9021|Alcatel-Lucent
10010163|China Kejian Corporation (jul-03)|Shenzhen|CN|AWR-TSMC|Enterprise|Off Maintenance|10010163|China Kejian Corporation (jul-03)
10010165|Universita degli Studi di Bologna - Department of Electronics, Computer Sciences and Systems|Bologna|IT|MED|University|On Maintenance|10010165|Universita degli Studi di Bologna
10010169|Analog Devices Inc. - Wilmington Division|MA|US|AWR-NE|Enterprise|On Maintenance|10010169|Analog Devices Inc.
